"user_id","noShows","total_Time","weekday","weekend","Afternoon","Day","Evening","Night","Children","Comedy","Drama","Entertainment","Factual","Learning","Music","News","NoGenre","RelEthics","Sport","Weather","per_al_Watched","numberOfShows_M2","total_Time_M2","watched_in_M2"
"0001c6",2,16.6792,1,0,0,0,1,0,0,0,0,0,0,0,0,100,0,0,0,0,50,0,0,"0"
"000c1a",2,0.310333333333333,1,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,9,198.71995,"1"
"001c53",2,1.8663,1,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,"0"
"001d44",1,1.06361666666667,0,1,0,0,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,2,14.5477,"1"
"002b2e",31,534.355566666667,0.870967741935484,0.129032258064516,0,0.0967741935483871,0.806451612903226,0.0967741935483871,0,6.45161290322581,32.258064516129,6.45161290322581,41.9354838709677,0,6.45161290322581,3.2258064516129,0,0,3.2258064516129,0,22.5806451612903,0,0,"0"
"002b43",1,1.31336666666667,1,0,0,0,1,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,"0"
"002be3",1,0.966666666666667,1,0,0,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,"0"
"0030d7",1,2.801,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,"0"
"00340d",2,59.1233166666667,0,1,0,0,1,0,0,0,100,0,0,0,0,0,0,0,0,0,50,2,8.05216666666667,"1"
"0051a9",3,4.1238,0.666666666666667,0.333333333333333,0,0,1,0,0,0,33.3333333333333,0,0,0,0,33.3333333333333,0,0,0,33.3333333333333,0,1,5.97466666666667,"1"
"0059d9",20,446.0549,0.75,0.25,0.15,0.45,0.4,0,0,0,0,10,30,0,0,50,0,0,5,5,35,8,324.136216666667,"1"
"0080a1",1,14.3842833333333,0,1,0,0,1,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"00886a",1,1.07096666666667,1,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,"0"
"008d36",2,1.98331666666667,1,0,1,0,0,0,0,0,50,0,0,0,0,0,0,0,50,0,0,0,0,"0"
