"noShows","total_Time","weekday","weekend","Afternoon","Day","Evening","Night","Children","Comedy","Drama","Entertainment","Factual","Learning","Music","News","NoGenre","RelEthics","Sport","Weather","per_al_Watched","watched_in_Feb"
6,196.32005,0.333333333333333,0.666666666666667,0.333333333333333,0,0,0.666666666666667,0,66.6666666666667,0,16.6666666666667,0,0,16.6666666666667,0,0,0,0,0,50,"Yes"
8,163.91315,0.5,0.5,0.25,0.75,0,0,0,12.5,50,0,25,0,12.5,0,0,0,0,0,50,"Yes"
7,273.048966666667,0.571428571428571,0.428571428571429,0,0,1,0,0,14.2857142857143,71.4285714285714,14.2857142857143,0,0,0,0,0,0,0,0,42.8571428571429,"Yes"
1,11.4795166666667,1,0,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,"No"
3,5.48333333333333,1,0,0,0,0,1,0,0,0,0,0,0,0,100,0,0,0,0,100,"No"
2,57.8435833333333,1,0,0,1,0,0,0,0,50,50,0,0,0,0,0,0,0,0,50,"Yes"
2,1.57451666666667,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100,0,0,"Yes"
3,19.1101833333333,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,"Yes"
8,88.0519833333333,0.625,0.375,0.25,0.125,0.375,0.25,0,0,12.5,0,62.5,0,0,25,0,0,0,0,25,"Yes"
34,627.656016666667,0.558823529411765,0.441176470588235,0.235294117647059,0,0.764705882352941,0,0,26.4705882352941,14.7058823529412,5.88235294117647,47.0588235294118,0,0,0,0,2.94117647058824,0,2.94117647058824,47.0588235294118,"Yes"
7,5.67558333333333,1,0,0,0,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,"No"
3,10.2833333333333,0.666666666666667,0.333333333333333,0,0.666666666666667,0.333333333333333,0,0,0,0,0,66.6666666666667,0,0,33.3333333333333,0,0,0,0,100,"No"
9,59.8472333333333,1,0,0.333333333333333,0.666666666666667,0,0,88.8888888888889,0,0,0,0,0,0,0,0,0,11.1111111111111,0,11.1111111111111,"Yes"
34,627.523916666667,0.647058823529412,0.352941176470588,0.0294117647058824,0.0294117647058824,0.441176470588235,0.5,0,29.4117647058824,41.1764705882353,17.6470588235294,5.88235294117647,2.94117647058824,0,2.94117647058824,0,0,0,0,47.0588235294118,"Yes"
